CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location Point1
50079627,SEAMORE'S,Manhattan,250,VESEY STREET,10281,6465857380,Seafood,8/25/2021,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,16,,,10/30/2024,Cycle Inspection / Initial Inspection,40.71452196,-74.0156771,101,1,31703,1000060,1000160150,MN25,
40755766,EL POLLO PERUANO,Queens,4119,NATIONAL STREET,11368,7184575130,Peruvian,4/26/2023,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,26,,,10/30/2024,Cycle Inspection / Initial Inspection,40.74843813,-73.86319012,404,21,40500,4048566,4019760007,QN26,
50158728,S-MEAT & HUESO BAR-GRILL,Queens,3550,31ST ST,11106,9173997334,,1/1/1900,,,,Not Applicable,,,,10/30/2024,,40.75733869,-73.92914403,401,22,5300,4007997,4006030045,QN70,
50110086,DADDYO'S BBQ,Staten Island,185,BRICKTOWN WAY,10309,6462269199,Barbecue,1/24/2023,Violations were cited in the following area(s).,06F,"Wiping cloths not stored clean and dry, or in a sanitizing solution, between uses.",Critical,29,,,10/30/2024,Pre-permit (Operational) / Initial Inspection,40.5295211,-74.23140975,503,51,22600,5164795,5074520100,SI11,
41720680,THE HUMMUS & PITA CO.,Manhattan,79,CHAMBERS STREET,10007,2125716700,Mediterranean,3/24/2022,Violations were cited in the following area(s).,10I,"Single service item reused, improperly stored, dispensed; not used when required.",Not Critical,46,,,10/30/2024,Cycle Inspection / Initial Inspection,40.71442127,-74.00685015,101,1,2100,1001625,1001490003,MN24,
50102413,WINGSTOP,Queens,12614,MERRICK BLVD,11434,3472666842,Chicken,4/19/2023,Violations were cited in the following area(s).,18-14,"Order or notice posted or required to be posted by the Department mutilated, obstructed or removed.",Not Critical,,,,10/30/2024,Administrative Miscellaneous / Initial Inspection,40.68185764,-73.76609459,412,27,33401,4270272,4125260001,QN08,
41381267,RABBIT,Manhattan,122,EAST    7 STREET,10009,2122543515,Vegetarian,10/23/2022,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,31,,,10/30/2024,Cycle Inspection / Initial Inspection,40.72630523,-73.98417941,103,2,3200,1005788,1004340025,MN22,
50128762,,0,33,NORTH DR,11021,5166036827,,1/1/1900,,,,Not Applicable,,,,10/30/2024,,,,,,,,,,
50129797,MAMA YOSHI MINI MART,Queens,1711,GROVE ST,11385,5104999289,Japanese,11/30/2023,Violations were cited in the following area(s).,04K,Evidence of rats or live rats in establishment's food or non-food areas.,Critical,24,N,,10/30/2024,Pre-permit (Operational) / Initial Inspection,40.70319941,-73.91119387,405,34,54700,4082195,4034400052,QN20,
40366054,HEALY'S PUB,Queens,10807,ROCKAWAY BEACH BOULEVARD,11694,7184749600,American,1/6/2022,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,12,A,1/6/2022,10/30/2024,Cycle Inspection / Initial Inspection,40.58173375,-73.83028283,414,32,93800,,4,QN10,
